stav;code;ean;name;xml_feed_name;heureka_category_id;default_category;extra_categories;price_vat;purchase_price;purchase_price_vat;stock;images
pridat;N68_BG-ECOP01;5999566451416;TICKLESS EcoPET® Ultrazvukový odpuzovač proti klíšťatům pro psy hnědý;TICKLESS EcoPET ultrazvukový odpuzovač klíšťat pro psy hnědý;2243;PRO PSY >> Antiparazitika;LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;466.8;565;20;1
pridat;N68_BG-M01BL;5999566450266;TICKLESS® Mini Nabíjecí ultrazvukový odpuzovač klíšťat pro psy a kočky Jet Black;TICKLESS Mini nabíjecí odpuzovač klíšťat pro psy a kočky Jet Black;2243;PRO PSY >> Antiparazitika;PRO KOČKY >> Antiparazitika | LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;709.44;859;16;1
pridat;N68_BG-PRO-101BE;5999566451010;TICKLESS® PET Ultrazvukový odpuzovač proti klíšťatům pro psy béžový;TICKLESS PET ultrazvukový odpuzovač klíšťat pro psy béžový;2243;PRO PSY >> Antiparazitika;LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;466.8;565;20;1
pridat;N68_BG-PRO-101BL;5999566451034;TICKLESS® PET Ultrazvukový odpuzovač proti klíšťatům pro psy černý;TICKLESS PET ultrazvukový odpuzovač klíšťat pro psy černý;2243;PRO PSY >> Antiparazitika;LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;466.8;565;20;1
pridat;N68_BG-PRO-101OR;5999566451041;TICKLESS® PET Ultrazvukový odpuzovač proti klíšťatům pro psy oranžový;TICKLESS PET ultrazvukový odpuzovač klíšťat pro psy oranžový;2243;PRO PSY >> Antiparazitika;LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;466.8;565;20;1
pridat;N68_BG-PRO-101PI;5999566451027;TICKLESS® PET Ultrazvukový odpuzovač proti klíšťatům pro psy růžový;TICKLESS PET ultrazvukový odpuzovač klíšťat pro psy růžový;2243;PRO PSY >> Antiparazitika;LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;466.8;565;20;1
pridat;N68_BG-DOG23GB;5999566451676;TICKLESS® Mini Nabíjecí ultrazvukový odpuzovač klíšťat pro psy a kočky Greek blue;TICKLESS Mini nabíjecí odpuzovač klíšťat pro psy a kočky Greek Blue;2243;PRO PSY >> Antiparazitika;PRO KOČKY >> Antiparazitika | LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;709.44;859;20;1
pridat;N68_BG-DOG23HP;5999566451706;TICKLESS® Mini Nabíjecí ultrazvukový odpuzovač klíšťat pro psy a kočky Hot peach;TICKLESS Mini nabíjecí odpuzovač klíšťat pro psy a kočky Hot Peach;2243;PRO PSY >> Antiparazitika;PRO KOČKY >> Antiparazitika | LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;709.44;859;20;1
pridat;N68_BG-DOG23M;5999566451669;TICKLESS® Mini Nabíjecí ultrazvukový odpuzovač klíšťat pro psy a kočky Marigold;TICKLESS Mini nabíjecí odpuzovač klíšťat pro psy a kočky Marigold;2243;PRO PSY >> Antiparazitika;PRO KOČKY >> Antiparazitika | LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;709.44;859;20;1
pridat;N68_BG-DOG23MG;5999566451683;TICKLESS® Mini Nabíjecí ultrazvukový odpuzovač klíšťat pro psy a kočky Mentha green;TICKLESS Mini nabíjecí odpuzovač klíšťat pro psy a kočky Mentha Green;2243;PRO PSY >> Antiparazitika;PRO KOČKY >> Antiparazitika | LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;709.44;859;20;1
pridat;N68_BG-DOG23OP;5999566451690;TICKLESS® Mini Nabíjecí ultrazvukový odpuzovač klíšťat pro psy a kočky Organ purple;TICKLESS Mini nabíjecí odpuzovač klíšťat pro psy a kočky Organ Purple;2243;PRO PSY >> Antiparazitika;PRO KOČKY >> Antiparazitika | LETNÍ KOLEKCE >> Ochrana proti klíšťatům;1;709.44;859;20;1
